Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Quality
7.75,7.92,7.83,7.92,7.75,7.67,84.83
7.42,7.92,7.92,8.0,7.83,7.83,84.83
7.75,7.75,7.75,7.75,8.0,7.75,84.75
7.92,7.83,7.58,7.92,7.75,7.83,84.75
7.83,7.75,8.0,7.67,7.67,7.67,84.75
7.75,8.0,8.0,8.33,7.67,7.92,84.75
7.83,7.58,7.58,7.83,7.75,7.67,84.75
7.83,7.83,7.5,8.0,7.83,7.67,84.67
7.92,7.83,7.75,7.75,7.75,7.75,84.67
7.75,7.75,7.75,7.42,8.08,7.83,84.67
8.08,7.75,7.67,7.83,7.5,7.92,84.67
7.75,7.83,7.58,8.0,7.92,7.75,84.67
8.17,8.0,7.83,7.17,7.83,7.75,84.67
8.08,7.83,7.75,7.83,7.58,7.67,84.67
7.67,7.58,7.75,7.75,7.67,8.58,84.67
8.0,7.58,7.83,7.75,7.75,7.75,84.67
8.08,7.83,7.75,7.83,7.92,8.0,84.67
8.0,7.92,7.75,7.75,7.75,7.75,84.67
7.75,7.83,7.75,7.83,7.75,7.83,84.67
7.75,7.92,7.83,8.0,7.58,7.75,84.67
8.0,7.83,7.67,7.83,7.67,8.0,84.67
7.67,7.83,7.67,8.0,7.67,7.83,84.67
7.83,7.58,7.67,7.92,7.92,7.83,84.67
7.92,7.83,7.75,7.92,7.67,7.75,84.67
7.67,7.83,7.75,7.75,7.92,7.83,84.67
7.42,7.75,7.75,8.0,8.0,7.92,84.67
7.92,7.75,7.83,7.75,7.58,7.92,84.58
7.83,7.67,7.58,7.92,7.67,7.83,84.58
7.92,7.83,7.58,8.0,7.83,7.67,84.58
7.83,7.83,7.83,7.75,7.58,7.83,84.58
7.75,7.83,7.67,7.92,7.75,7.83,84.58
8.0,7.92,7.67,7.58,7.58,7.67,84.58
7.67,7.67,7.58,7.75,7.58,8.5,84.58
7.75,7.75,7.83,7.75,7.58,8.0,84.58
7.75,7.75,7.75,8.08,7.75,7.75,84.58
7.67,7.83,7.83,8.0,7.58,7.92,84.58
7.75,7.83,7.75,8.0,7.83,7.67,84.58
7.42,7.67,7.75,7.75,8.08,7.83,84.58
8.0,8.0,7.75,7.75,7.58,7.75,84.58
8.5,8.0,7.5,7.75,7.5,7.83,84.58
7.92,7.67,7.92,7.75,7.67,7.58,84.5
7.92,7.75,7.67,7.75,7.83,7.75,84.5
7.75,7.92,7.67,7.83,7.75,7.67,84.5
7.92,7.83,7.83,7.83,7.58,7.58,84.5
8.08,7.67,7.83,7.83,7.67,7.67,84.5
7.67,8.0,7.75,7.83,7.75,7.58,84.5
8.17,7.83,7.67,7.83,7.67,7.83,84.5
7.92,7.83,7.67,8.0,7.67,7.75,84.5
8.0,7.92,7.42,8.08,7.5,7.67,84.5
7.92,7.83,7.75,7.75,7.75,7.83,84.5
7.67,8.0,7.67,8.0,7.5,7.83,84.5
7.81,7.81,7.88,7.75,7.38,8.25,84.5
8.17,7.67,7.75,7.75,7.67,7.75,84.5
7.58,7.83,7.83,8.0,7.67,7.58,84.42
7.67,7.67,7.83,7.58,7.83,7.83,84.42
7.92,7.83,7.75,7.67,7.92,7.67,84.42
7.92,7.75,7.67,7.92,7.67,7.75,84.42
7.83,7.83,7.75,8.0,7.5,7.75,84.42
7.92,7.92,7.5,7.83,7.5,7.92,84.42
7.75,7.92,7.75,7.67,7.83,7.67,84.42
7.5,7.75,7.83,7.92,7.92,7.75,84.42
7.33,7.58,7.83,7.75,7.75,7.92,84.33
7.92,8.0,7.75,7.67,7.67,7.75,84.33
7.58,7.75,7.5,7.83,7.67,8.5,84.33
7.58,7.92,7.58,7.75,7.92,7.75,84.33
7.67,7.67,7.75,7.83,7.75,7.83,84.33
7.75,7.67,8.0,7.67,8.08,7.83,84.33
7.75,7.58,7.33,7.83,7.58,8.08,84.33
8.0,7.75,7.75,7.83,7.5,7.67,84.33
8.17,8.0,7.5,7.75,7.5,7.67,84.33
8.0,8.0,7.5,7.5,7.67,7.75,84.33
7.75,7.75,7.92,7.75,7.5,7.92,84.33
7.5,7.67,7.75,7.67,7.92,7.92,84.33
7.92,7.75,7.75,7.67,7.67,7.83,84.25
7.83,7.75,7.75,7.42,7.83,7.67,84.25
7.83,7.58,7.75,7.58,7.67,8.0,84.25
7.75,7.75,7.58,7.92,7.75,7.75,84.25
7.75,7.92,7.5,8.08,7.58,7.67,84.25
7.83,7.83,7.58,7.75,7.75,7.75,84.25
7.67,7.67,7.75,7.75,7.67,7.92,84.25
7.83,7.67,7.75,7.58,7.92,7.75,84.25
7.83,7.75,7.83,7.58,7.67,7.75,84.25
7.42,7.67,7.83,7.75,7.92,7.83,84.25
7.83,7.67,7.75,7.83,7.67,7.67,84.25
7.83,7.75,7.75,7.75,7.67,7.75,84.25
7.83,7.83,7.5,7.92,7.58,7.75,84.25
7.58,7.5,7.75,7.83,7.92,7.83,84.25
7.33,7.92,7.92,7.92,7.92,8.08,84.25
7.83,7.92,7.67,7.83,7.5,7.75,84.25
7.83,7.83,7.75,7.67,7.83,7.58,84.25
7.83,7.92,7.67,7.75,7.5,7.75,84.25
8.17,7.75,7.58,7.67,7.83,7.58,84.25
7.75,7.83,7.58,7.83,7.67,7.75,84.17
7.83,7.75,7.58,7.67,7.75,7.83,84.17
7.92,7.75,7.67,7.67,7.5,7.67,84.17
7.75,7.75,7.58,8.0,7.67,7.83,84.17
7.75,7.92,7.58,7.92,7.67,7.67,84.17
7.58,7.83,7.58,7.83,7.83,7.67,84.17
8.0,7.5,7.5,7.67,8.0,7.83,84.17
7.67,7.83,7.83,7.5,7.67,7.83,84.17
7.67,7.75,7.75,7.67,7.83,7.75,84.17
7.67,7.75,7.67,7.75,7.5,8.0,84.17
7.92,7.75,7.75,7.75,7.75,7.58,84.17
7.67,7.5,7.67,7.42,7.83,8.58,84.17
7.67,7.75,7.67,7.75,7.75,7.75,84.17
7.58,7.75,7.75,7.75,7.75,7.83,84.17
7.58,7.83,7.75,7.67,7.67,8.0,84.17
7.92,7.75,7.67,7.67,7.83,7.92,84.17
8.42,8.08,7.5,7.17,7.58,8.17,84.17
7.75,7.75,7.75,7.75,7.83,7.75,84.17
7.83,7.5,7.5,8.0,7.83,7.83,84.17
7.83,7.75,7.5,7.83,7.83,7.75,84.17
7.81,7.88,7.56,7.75,7.63,7.75,84.13
7.83,7.5,7.42,7.5,7.83,8.5,84.08
7.58,7.67,7.67,7.67,7.75,7.83,84.08
8.0,7.75,7.5,7.58,7.92,7.67,84.08
7.92,7.75,7.67,7.75,7.67,7.67,84.08
7.58,7.75,7.67,8.0,7.75,7.67,84.08
7.83,7.75,7.83,7.83,7.42,8.08,84.08
7.67,7.75,7.67,7.75,7.67,7.75,84.08
7.92,7.92,7.83,8.0,7.92,7.92,84.08
7.58,7.75,7.67,7.75,7.83,7.75,84.0
7.83,7.75,7.67,7.75,7.33,7.75,84.0
7.42,7.83,7.75,7.92,7.75,7.58,84.0
7.67,7.83,7.58,7.92,7.75,7.67,84.0
7.67,7.67,7.83,7.58,7.58,7.83,84.0
7.92,7.67,7.42,7.92,7.75,7.83,84.0
7.75,7.83,7.5,7.83,7.58,7.67,84.0
7.67,7.75,7.67,7.67,7.67,7.75,84.0
7.58,7.42,7.75,7.92,7.75,7.92,84.0
7.67,7.67,7.5,7.5,7.67,7.67,84.0
7.75,7.75,7.5,7.58,7.67,7.92,84.0
7.58,7.83,7.67,7.25,8.0,7.75,84.0
7.67,7.83,7.67,7.75,7.67,7.75,84.0
7.67,7.83,7.5,7.75,7.92,7.67,84.0
7.92,8.17,8.17,8.42,8.08,8.17,84.0
7.67,7.75,7.67,7.75,7.83,7.67,84.0
7.92,7.75,7.58,7.67,7.67,7.83,84.0
7.58,7.75,7.58,7.75,7.58,7.75,84.0
7.5,7.75,7.58,7.5,7.58,7.5,83.92
7.83,7.83,7.58,7.92,7.42,7.5,83.92
7.67,7.75,7.5,7.67,7.67,7.83,83.92
7.58,7.67,7.67,7.75,7.58,7.83,83.92
7.83,7.75,7.83,7.75,7.83,7.75,83.92
7.75,7.67,7.5,7.75,7.83,7.75,83.92
7.75,7.58,7.5,7.83,7.75,7.92,83.92
7.75,7.75,7.58,7.75,7.75,7.67,83.92
7.92,7.67,7.5,7.83,7.58,7.67,83.92
7.83,7.75,7.58,7.58,7.75,7.75,83.92
7.75,7.58,7.67,7.83,7.83,7.67,83.92
8.0,7.92,7.92,7.92,7.67,7.33,83.92
7.67,7.83,7.67,7.75,7.67,7.83,83.92
7.67,7.75,7.58,7.67,7.75,7.83,83.92
7.5,7.67,7.58,7.83,7.75,7.75,83.92
7.75,7.92,7.83,7.92,7.75,7.67,83.92
7.92,7.58,7.5,7.83,7.58,7.67,83.83
7.83,7.67,7.5,7.75,7.75,7.75,83.83
7.67,7.67,7.75,7.67,7.5,7.75,83.83
7.75,7.75,7.5,7.75,7.83,7.58,83.83
7.75,7.67,7.5,7.75,7.75,7.67,83.83
7.25,7.58,7.42,8.0,7.75,7.83,83.83
7.67,7.75,7.67,7.75,7.42,7.75,83.83
7.75,7.75,7.67,7.67,7.58,7.67,83.83
7.67,7.67,7.58,7.5,7.83,8.17,83.83
7.83,7.42,7.5,7.83,7.75,7.83,83.83
7.58,7.83,7.33,8.0,7.58,7.75,83.83
7.92,7.5,7.33,7.67,8.17,7.5,83.83
7.5,7.67,7.58,7.75,7.83,7.83,83.83
7.67,7.58,7.58,7.83,7.58,7.67,83.83
7.5,7.83,7.5,7.83,7.83,7.67,83.83
7.67,8.0,7.67,7.42,7.67,7.5,83.83
7.67,7.58,7.5,7.75,7.75,7.75,83.83
7.83,7.83,7.58,7.67,7.5,7.58,83.83
7.75,7.75,7.58,8.0,7.67,7.58,83.83
7.5,7.83,7.58,7.58,7.75,7.83,83.83
7.58,7.83,7.58,8.0,7.83,7.5,83.83
7.75,7.58,7.5,7.58,7.75,7.75,83.75
7.67,7.67,7.58,7.75,7.67,7.67,83.75
7.83,7.83,7.58,7.58,7.58,7.58,83.75
7.67,7.67,7.58,7.58,7.67,7.83,83.75
7.92,7.75,7.5,7.67,7.75,7.5,83.75
7.83,7.75,7.67,7.5,7.58,7.67,83.75
7.75,7.67,7.5,7.67,7.58,7.83,83.75
8.0,7.92,7.58,7.75,7.33,7.5,83.75
7.83,7.83,7.83,7.67,8.0,8.17,83.75
7.67,7.67,7.67,7.92,7.5,7.67,83.75
7.67,7.42,7.42,7.42,8.0,8.33,83.75
7.58,7.67,7.75,7.67,7.67,7.67,83.75
7.75,7.67,7.75,7.58,7.42,8.0,83.75
7.25,7.42,7.67,7.58,7.83,8.25,83.75
7.83,7.58,7.58,7.5,7.75,7.67,83.75
7.67,7.58,7.58,7.67,7.75,7.75,83.75
7.83,7.83,7.58,7.33,7.42,7.67,83.75
7.75,7.67,7.25,7.25,7.58,8.5,83.75
7.83,7.67,7.75,7.67,7.58,7.5,83.75
7.67,7.83,7.5,7.67,7.67,7.5,83.67
8.08,7.67,7.67,7.58,7.25,7.67,83.67
7.5,7.5,7.67,7.67,8.0,8.0,83.67
7.67,7.75,7.67,7.67,7.83,7.58,83.67
7.58,7.75,7.58,7.75,7.58,7.58,83.67
7.5,7.67,7.33,7.92,7.83,7.67,83.67
7.33,7.67,7.67,7.5,7.67,7.5,83.67
7.5,7.75,7.58,7.83,7.67,7.58,83.67
7.5,7.75,7.5,7.75,7.67,7.67,83.67
8.0,7.5,7.33,8.0,8.0,8.0,83.67
7.83,7.75,7.67,7.58,7.58,7.67,83.67
7.67,7.67,7.67,7.67,7.33,7.75,83.67
7.67,7.67,7.42,7.67,8.0,7.75,83.67
7.83,7.67,7.33,7.67,7.67,7.83,83.67
7.75,7.75,7.58,7.83,7.17,7.75,83.67
8.17,8.17,7.83,7.67,8.08,7.75,83.67
7.67,8.17,7.5,7.42,7.58,7.83,83.67
7.67,7.5,7.5,7.33,7.83,8.25,83.67
8.17,7.67,7.58,7.58,7.42,7.67,83.67
7.67,7.5,7.33,8.0,7.67,7.67,83.67
7.75,8.0,7.92,8.08,7.75,8.0,83.67
7.58,7.67,7.58,7.58,7.67,7.58,83.58
7.75,7.75,7.5,7.83,7.58,7.58,83.58
7.75,7.75,7.58,7.58,7.67,7.58,83.58
7.67,7.58,7.58,7.58,7.67,7.75,83.58
7.67,7.75,7.58,7.67,7.75,7.58,83.58
7.75,7.75,7.58,7.58,7.5,7.67,83.58
7.75,7.67,7.58,7.67,7.5,7.67,83.58
7.67,7.67,7.42,7.75,7.75,7.67,83.58
7.67,7.58,7.67,7.67,7.67,7.67,83.58
7.67,7.58,7.67,7.58,7.67,7.75,83.58
7.75,7.58,7.5,7.58,7.75,7.83,83.58
7.75,7.75,7.75,7.75,7.5,7.58,83.58
7.67,7.67,7.58,7.67,7.75,7.58,83.58
7.83,7.67,7.58,7.58,7.67,7.58,83.58
7.67,7.58,7.58,7.58,7.67,7.75,83.58
7.83,7.75,7.5,7.75,7.5,7.58,83.58
7.75,7.58,7.58,7.75,7.75,7.5,83.5
7.58,7.58,7.17,7.17,7.0,7.0,83.5
7.92,7.42,7.5,7.67,7.5,7.67,83.5
7.75,7.58,7.58,7.5,7.75,7.75,83.5
7.67,7.75,7.5,7.83,7.58,7.58,83.5
7.58,7.58,7.58,7.58,7.75,7.67,83.5
7.75,7.67,7.58,7.67,7.67,7.58,83.5
7.25,7.67,7.58,7.92,7.83,7.58,83.5
7.67,7.75,7.5,7.58,7.75,7.67,83.5
7.67,7.42,7.67,7.83,7.58,7.67,83.5
8.0,7.58,7.25,7.58,7.92,7.58,83.5
7.58,7.75,7.5,7.83,7.42,7.67,83.5
7.75,7.58,7.33,7.5,7.83,7.83,83.5
7.67,7.5,7.67,7.5,7.67,7.67,83.5
7.58,7.75,7.42,7.67,7.75,7.67,83.5
7.58,7.67,7.58,7.75,7.58,7.75,83.5
7.83,7.58,7.25,7.5,7.5,7.42,83.5
7.67,7.75,7.67,7.75,7.58,7.5,83.5
7.75,7.67,7.67,7.75,7.33,7.5,83.5
7.83,7.5,7.5,8.0,7.67,7.5,83.5
7.67,7.58,7.58,7.67,7.67,7.67,83.5
7.5,7.5,7.75,7.5,8.0,7.67,83.5
7.5,7.67,7.58,7.92,7.58,7.67,83.5
7.83,7.58,7.58,7.58,7.75,7.58,83.5
7.5,7.58,7.58,7.5,7.75,7.83,83.42
7.67,7.75,7.5,7.58,7.58,7.67,83.42
7.67,7.67,7.5,7.67,7.67,7.58,83.42
7.58,7.5,7.42,7.92,7.5,7.67,83.42
7.67,7.67,7.0,7.08,7.0,7.0,83.42
7.58,7.75,7.33,7.75,7.67,7.58,83.42
7.5,7.58,7.75,7.5,7.75,7.67,83.42
7.58,7.5,7.75,7.58,7.75,7.67,83.42
7.58,7.67,7.58,7.67,7.58,7.67,83.42
7.33,7.83,7.75,7.5,7.42,7.83,83.42
7.75,7.67,7.58,7.67,7.58,7.58,83.42
7.58,7.58,7.25,7.75,7.75,8.58,83.42
7.75,7.83,7.33,7.83,7.5,7.67,83.42
7.67,7.75,7.5,7.83,7.58,7.5,83.42
7.67,7.5,7.75,7.42,7.75,7.75,83.42
7.42,7.75,7.67,7.58,7.67,7.67,83.42
7.5,7.75,7.58,7.5,7.67,7.75,83.42
7.58,7.58,7.58,7.67,7.75,7.67,83.42
7.5,7.92,7.42,7.67,7.83,7.58,83.42
7.58,7.25,7.5,7.92,7.92,7.42,83.42
7.25,7.88,7.38,7.63,7.5,8.75,83.38
7.75,7.5,7.75,7.58,7.58,7.58,83.33
7.67,7.58,7.58,7.42,7.67,7.75,83.33
7.83,7.58,7.58,7.58,7.5,7.58,83.33
7.5,7.83,7.33,7.58,7.58,7.92,83.33
7.75,7.75,7.5,7.67,7.5,7.58,83.33
7.67,7.75,7.42,7.83,7.83,7.42,83.33
7.75,7.58,7.67,7.58,7.58,7.58,83.33
7.67,7.67,7.58,7.67,7.5,7.58,83.33
7.67,7.67,7.42,7.67,7.67,7.67,83.33
7.83,7.58,7.83,7.67,7.92,8.0,83.33
7.5,7.67,7.67,7.5,7.83,7.17,83.33
7.83,7.75,7.58,7.83,7.92,7.58,83.33
7.58,7.5,7.67,7.5,7.83,7.42,83.33
7.67,7.67,7.5,7.67,7.92,7.42,83.33
7.83,7.67,7.17,7.67,7.67,7.67,83.33
7.92,7.5,7.58,7.83,7.67,7.67,83.33
7.75,7.67,7.33,7.5,7.5,7.75,83.33
7.5,7.67,7.67,7.58,7.67,7.58,83.33
8.08,7.83,7.83,7.75,7.67,7.58,83.33
7.58,7.67,7.58,7.5,7.83,7.67,83.33
7.67,7.83,7.42,7.83,7.33,7.5,83.25
7.5,7.5,7.83,7.5,7.67,7.67,83.25
7.83,7.5,7.42,7.67,7.5,7.67,83.25
7.5,7.58,7.42,7.83,7.67,7.58,83.25
7.5,7.67,7.67,7.42,7.67,7.67,83.25
7.58,7.67,7.42,7.5,7.67,7.42,83.25
7.58,7.67,7.67,7.17,7.75,7.83,83.25
7.83,7.75,7.5,7.58,7.58,7.58,83.25
7.67,7.5,7.5,7.5,7.67,7.83,83.25
7.92,7.83,7.75,7.58,7.5,7.33,83.25
7.58,7.58,7.5,7.58,7.58,7.75,83.25
7.5,7.67,7.58,7.67,7.67,7.5,83.25
7.83,7.5,7.67,7.33,7.67,7.67,83.25
7.58,7.75,7.5,7.5,7.58,7.58,83.25
7.58,7.75,7.83,8.0,8.08,7.67,83.25
7.75,7.58,7.58,7.58,7.5,7.58,83.25
7.75,7.75,7.42,7.92,7.33,7.5,83.25
7.83,7.58,7.08,7.83,7.42,8.08,83.25
7.75,7.67,7.5,7.58,7.58,7.58,83.25
7.67,7.58,7.58,7.42,7.83,7.58,83.25
7.67,7.67,7.5,7.5,7.58,7.67,83.25
7.92,7.75,7.25,7.42,7.83,7.58,83.25
8.0,7.67,7.67,7.25,7.67,7.5,83.25
7.92,7.75,7.5,7.42,7.42,7.67,83.25
7.67,7.42,7.5,7.58,7.67,7.58,83.17
7.58,7.58,7.33,7.67,7.75,7.58,83.17
7.67,7.58,7.42,7.67,7.67,7.58,83.17
7.92,7.5,7.5,7.58,7.67,7.5,83.17
7.58,7.42,7.08,7.33,7.58,8.58,83.17
7.67,7.75,7.42,7.75,7.58,7.5,83.17
7.67,7.67,7.5,7.67,7.5,7.67,83.17
7.5,7.67,7.33,7.67,7.67,7.67,83.17
7.67,7.67,7.5,7.67,7.42,7.58,83.17
7.5,7.5,7.33,7.67,8.0,7.67,83.17
7.5,7.75,7.5,7.83,7.58,7.5,83.17
7.92,7.67,7.42,7.75,7.5,7.5,83.17
7.83,7.75,7.67,7.75,7.83,8.5,83.17
7.67,7.58,7.58,7.75,7.42,7.67,83.17
7.58,7.67,7.67,7.58,7.42,7.58,83.17
7.58,7.5,7.5,7.67,7.5,7.67,83.17
8.0,7.67,7.5,7.42,7.33,7.58,83.17
7.58,7.75,7.5,7.58,7.58,7.58,83.17
7.5,7.5,7.5,7.67,7.67,7.67,83.17
7.67,7.67,7.5,7.67,7.5,7.67,83.17
7.33,7.83,7.17,8.17,7.33,7.67,83.17
7.5,7.5,7.58,7.42,7.92,7.67,83.17
7.58,7.5,7.58,7.75,7.58,7.58,83.17
7.67,7.83,7.33,7.67,7.5,7.67,83.17
7.75,7.58,7.58,7.58,7.5,7.42,83.17
7.75,7.67,7.58,7.5,7.42,7.58,83.17
7.58,7.75,7.42,7.67,7.5,7.58,83.17
7.67,7.5,7.5,7.5,7.58,8.17,83.17
7.75,7.5,7.42,7.75,7.58,7.58,83.17
7.58,7.67,7.5,7.58,7.67,7.67,83.17
7.5,7.75,7.58,7.58,7.67,7.5,83.17
7.75,7.67,7.58,7.5,7.58,7.58,83.17
7.92,7.58,7.5,7.58,7.42,7.5,83.17
7.75,7.5,7.67,7.5,7.92,8.0,83.17
7.75,7.5,7.58,7.5,7.75,7.5,83.17
7.58,7.75,7.67,7.5,7.67,7.58,83.17
7.42,7.83,8.17,8.08,7.17,7.58,83.17
7.75,8.0,7.67,8.08,7.83,7.92,83.17
7.58,7.67,7.33,7.67,7.75,7.58,83.08
7.75,7.5,7.5,7.42,8.0,7.75,83.08
7.58,7.58,7.58,7.5,7.67,7.58,83.08
7.33,7.67,7.67,7.33,7.75,7.42,83.08
7.83,7.92,7.5,7.83,7.67,7.25,83.08
7.42,7.67,7.58,7.5,7.75,7.67,83.08
7.58,7.83,7.67,7.42,7.42,7.5,83.08
7.83,7.33,7.5,7.67,7.58,7.67,83.08
7.33,7.75,7.58,7.33,7.83,7.67,83.08
7.75,7.75,7.5,7.5,7.5,7.5,83.08
7.83,7.83,7.33,7.17,7.75,7.67,83.08
7.75,7.67,7.42,7.75,7.5,7.5,83.08
7.67,7.58,7.5,7.67,7.92,8.0,83.08
7.33,7.58,7.58,7.92,7.67,7.58,83.08
7.33,7.33,7.33,7.58,7.25,8.08,83.08
7.83,7.75,7.33,7.25,7.42,7.92,83.08
7.67,7.58,7.5,7.58,7.67,7.58,83.08
7.92,7.67,7.67,7.25,7.83,7.67,83.08
7.58,7.5,7.5,7.75,7.67,7.5,83.0
7.5,7.58,7.58,7.67,7.58,7.5,83.0
